id,school_id_k,tch_id_k,cltype_k,cltype_1,actual_size_k,in_STAR_k,in_STAR_1,in_STAR_2,in_STAR_3,gender,race,age_in_1985,tch_gender,tch_race,tch_degree,tch_exp,gktreadss,gktmathss,gkwordskillss,std_read_score_k,std_math_score_k,std_word_score_k,pctile_math_k,pctile_read_k,pctile_word_k,freelunch_k
13444,205490,20549002,"REGULAR + AIDE CLASS","REGULAR + AIDE CLASS",24,"YES","YES","YES","NO","MALE","BLACK",5.312329,"FEMALE","WHITE","BACHELORS",11,428,439,418,-.2269033,-.9420143,-.3985941,14,43,37,1
13445,205489,20548902,"REGULAR CLASS",,23,"YES","NO","NO","NO","FEMALE","WHITE",5.627397,"FEMALE","WHITE","BACHELORS",14,532,626,524,3.104164,3.061967,2.518507,99,99,98,0
13446,205490,20549002,"REGULAR + AIDE CLASS","REGULAR CLASS",24,"YES","YES","YES","YES","MALE","BLACK",5.309589,"FEMALE","WHITE","BACHELORS",11,434,473,435,-.0347263,-.2140177,.069243,41,52,55,1
13447,205489,20548901,"SMALL CLASS",,17,"YES","NO","NO","NO","MALE","WHITE",5.624658,"FEMALE","WHITE","BACHELORS",0,538,576,593,3.296341,1.991384,4.417376,95,99,100,0
13448,,,,"REGULAR + AIDE CLASS",,"NO","YES","NO","NO","MALE","BLACK",5.621918,,,,,,,,,,,,,,
13449,130085,13008504,"SMALL CLASS","SMALL CLASS",17,"YES","YES","YES","YES","FEMALE","WHITE",5.624658,"FEMALE","WHITE","BACHELORS",11,434,489,431,-.0347263,.128569,-.0408363,55,52,51,0
13450,128076,12807601,"SMALL CLASS","SMALL CLASS",13,"YES","YES","NO","NO","FEMALE","WHITE",5.306849,"FEMALE","WHITE","BACHELORS",0,397,449,401,-1.219818,-.7278976,-.8664311,21,6,15,0
13451,205488,20548802,"REGULAR CLASS","SMALL CLASS",24,"YES","YES","YES","NO","FEMALE","WHITE",5.621918,"FEMALE","WHITE","BACHELORS",12,427,463,410,-.2589328,-.4281343,-.6187527,33,41,26,0
13452,244746,24474601,"REGULAR + AIDE CLASS",,19,"YES","NO","NO","NO","MALE","BLACK",5.528767,"FEMALE","WHITE","MASTERS",17,445,459,431,.3175982,-.513781,-.0408363,29,67,51,1
13453,205489,20548903,"REGULAR + AIDE CLASS",,24,"YES","NO","NO","NO","MALE","WHITE",5.619178,"FEMALE","WHITE","BACHELORS",3,468,576,512,1.054277,1.991384,2.18827,95,87,97,0
13454,244755,24475503,"SMALL CLASS","SMALL CLASS",16,"YES","YES","YES","YES","MALE","BLACK",5.528767,"FEMALE","BLACK","BACHELORS",9,450,536,453,.4777456,1.134917,.5645999,85,72,71,0
13455,244708,24470802,"SMALL CLASS",,16,"YES","NO","NO","NO","FEMALE","BLACK",5.526027,"FEMALE","BLACK","BACHELORS",1,448,449,427,.4136866,-.7278976,-.1509156,21,70,46,1
13456,244831,24483102,"REGULAR CLASS","REGULAR CLASS",22,"YES","YES","YES","YES","FEMALE","BLACK",5.526027,"FEMALE","BLACK","BACHELORS",18,,,,,,,,,,1
13457,244796,24479603,"SMALL CLASS","SMALL CLASS",12,"YES","YES","YES","NO","FEMALE","BLACK",5.526027,"FEMALE","BLACK","BACHELORS",21,456,478,410,.6699226,-.1069593,-.6187527,46,78,26,1
13458,,,,"REGULAR CLASS",,"NO","YES","NO","YES","MALE","WHITE",5.613698,,,,,,,,,,,,,,
13459,244708,24470801,"SMALL CLASS","SMALL CLASS",16,"YES","YES","YES","YES","FEMALE","BLACK",5.523288,"FEMALE","WHITE","BACHELORS",14,461,459,458,.8300701,-.513781,.702199,29,82,75,1
13460,244801,24480103,"REGULAR + AIDE CLASS","REGULAR CLASS",24,"YES","YES","YES","NO","FEMALE","BLACK",5.523288,"FEMALE","BLACK","BACHELORS",8,425,520,414,-.3229918,.7923307,-.5086734,77,39,32,0
13461,244839,24483901,"REGULAR CLASS","REGULAR CLASS",21,"YES","YES","NO","NO","FEMALE","BLACK",5.520548,"FEMALE","WHITE","BACHELORS",1,428,536,410,-.2269033,1.134917,-.6187527,85,43,26,0
13462,244776,24477601,"SMALL CLASS",,15,"YES","NO","NO","NO","MALE","BLACK",5.520548,"FEMALE","WHITE","MASTERS",6,418,399,423,-.5471982,-1.798481,-.2609949,2,28,42,1
13463,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","FEMALE","BLACK",5.520548,,,,,,,,,,,,,,
13464,244764,24476401,"REGULAR + AIDE CLASS","REGULAR CLASS",21,"YES","YES","NO","YES","FEMALE","BLACK",5.523288,"FEMALE","BLACK","BACHELORS",1,422,468,410,-.4190803,-.321076,-.6187527,37,34,26,1
13465,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","MALE","BLACK",5.517808,,,,,,,,,,,,,,
13466,,,,,,"NO","NO","YES","YES","MALE","WHITE",5.09863,,,,,,,,,,,,,,
13467,,,,"REGULAR CLASS",,"NO","YES","YES","YES","MALE","BLACK",5.293151,,,,,,,,,,,,,,
13468,169219,16921903,"REGULAR + AIDE CLASS","SMALL CLASS",22,"YES","YES","NO","NO","MALE","WHITE",5.476712,"FEMALE","WHITE","BACHELORS",18,,,,,,,,,,0
13469,128079,12807902,"REGULAR + AIDE CLASS",,21,"YES","NO","NO","NO","FEMALE","WHITE",5.665753,"FEMALE","WHITE","BACHELORS",8,398,399,361,-1.187788,-1.798481,-1.967224,2,7,1,0
13470,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",5.509589,,,,,,,,,,,,,,
13471,205491,20549102,"SMALL CLASS",,15,"YES","NO","NO","NO","MALE","WHITE",5.287671,"FEMALE","WHITE","BACHELORS",15,400,449,396,-1.123729,-.7278976,-1.00403,21,8,10,0
13472,180344,18034401,"REGULAR CLASS","REGULAR + AIDE CLASS",25,"YES","YES","NO","NO","MALE","BLACK",5.336986,"FEMALE","WHITE","BACHELORS",5,,,,,,,,,,0
13473,205490,20549003,"REGULAR CLASS",,24,"YES","NO","YES","YES","FEMALE","BLACK",5.652055,"FEMALE","WHITE","BACHELORS",12,405,434,401,-.9635817,-1.049073,-.8664311,12,12,15,1
13474,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","FEMALE","WHITE",5.652055,,,,,,,,,,,,,,
13475,161183,16118302,"REGULAR + AIDE CLASS","REGULAR CLASS",23,"YES","YES","NO","NO","FEMALE","WHITE",5.649315,"FEMALE","WHITE","MASTERS",10,,489,,.128569,.128569,,55,,,1
13476,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",5.649315,,,,,,,,,,,,,,
13477,244776,24477603,"REGULAR + AIDE CLASS",,22,"YES","NO","NO","NO","FEMALE","BLACK",5.526027,"FEMALE","BLACK","BACHELORS",5,,,480,,,1.307635,,,89,1
13478,128068,12806803,"REGULAR + AIDE CLASS",,23,"YES","NO","NO","NO","FEMALE","WHITE",5.641096,"FEMALE","WHITE","BACHELORS",11,388,478,361,-1.508083,-.1069593,-1.967224,46,2,1,0
13479,,,,"SMALL CLASS",,"NO","YES","YES","YES","MALE","WHITE",5.638356,,,,,,,,,,,,,,
13480,170295,17029503,"SMALL CLASS",,13,"YES","NO","NO","NO","MALE","WHITE",5.526027,"FEMALE","WHITE","BACHELORS",2,,,,,,,,,,1
13481,169219,16921902,"REGULAR CLASS",,20,"YES","NO","NO","NO","FEMALE","WHITE",5.49863,"FEMALE","WHITE","MASTERS",12,554,520,569,3.808813,.7923307,3.7569,77,100,99,0
13482,203452,20345201,"SMALL CLASS","SMALL CLASS",17,"YES","YES","YES","YES","FEMALE","WHITE",5.624658,"FEMALE","WHITE","BACHELORS",19,,454,391,-.6208394,-.6208394,-1.141629,25,,6,1
13483,128068,12806803,"REGULAR + AIDE CLASS",,23,"YES","NO","NO","NO","MALE","WHITE",5.30137,"FEMALE","WHITE","BACHELORS",11,422,423,410,-.4190803,-1.284601,-.6187527,7,34,26,0
13484,205492,20549203,"REGULAR CLASS",,23,"YES","NO","YES","NO","FEMALE","BLACK",5.619178,"FEMALE","WHITE","MASTERS",24,431,528,418,-.1308148,.963624,-.3985941,81,48,37,1
13485,205491,20549102,"SMALL CLASS","SMALL CLASS",15,"YES","YES","YES","YES","FEMALE","WHITE",5.279452,"FEMALE","WHITE","BACHELORS",15,,459,431,-.513781,-.513781,-.0408363,29,,51,0
13486,244745,24474504,"REGULAR + AIDE CLASS",,28,"YES","NO","NO","NO","MALE","BLACK",5.531507,"FEMALE","BLACK","MASTERS",15,413,459,405,-.7073457,-.513781,-.7563518,29,22,20,0
13487,128076,12807602,"REGULAR CLASS","REGULAR CLASS",23,"YES","YES","YES","YES","MALE","WHITE",5.610959,"FEMALE","WHITE","BACHELORS",8,436,454,401,.0293327,-.6208394,-.8664311,25,54,15,0
13488,,,,"REGULAR CLASS",,"NO","YES","YES","YES","FEMALE","WHITE",5.608219,,,,,,,,,,,,,,
13489,,,,,,"NO","NO","YES","NO","MALE","BLACK",5.50137,,,,,,,,,,,,,,
13490,128079,12807901,"REGULAR CLASS","REGULAR CLASS",24,"YES","YES","YES","YES","MALE","WHITE",5.59726,"FEMALE","WHITE","BACHELORS",8,422,444,414,-.4190803,-.834956,-.5086734,17,34,32,0
13491,128079,12807902,"REGULAR + AIDE CLASS","REGULAR + AIDE CLASS",21,"YES","YES","YES","YES","MALE","WHITE",5.59726,"FEMALE","WHITE","BACHELORS",8,422,444,414,-.4190803,-.834956,-.5086734,17,34,32,0
13492,244723,24472305,"REGULAR CLASS","REGULAR + AIDE CLASS",26,"YES","YES","YES","NO","MALE","BLACK",5.517808,"FEMALE","WHITE","MASTERS +",8,416,463,401,-.6112572,-.4281343,-.8664311,33,26,15,1
13493,205492,20549204,"SMALL CLASS",,17,"YES","NO","NO","NO","MALE","BLACK",5.594521,"FEMALE","WHITE","BACHELORS",3,,,,,,,,,,1
13494,244736,24473603,"SMALL CLASS",,15,"YES","NO","NO","NO","MALE","BLACK",5.517808,"FEMALE","WHITE","BACHELORS",6,424,513,414,-.3550213,.642449,-.5086734,73,37,32,1
13495,244806,24480603,"REGULAR CLASS","REGULAR CLASS",26,"YES","YES","NO","NO","MALE","BLACK",5.515069,"FEMALE","BLACK","BACHELORS",0,440,444,423,.1574507,-.834956,-.2609949,17,61,42,1
13496,205492,20549203,"REGULAR CLASS",,23,"YES","NO","NO","NO","MALE","BLACK",5.254795,"FEMALE","WHITE","MASTERS",24,461,602,444,.8300701,2.548087,.3169214,97,82,63,1
13497,205490,20549001,"SMALL CLASS","SMALL CLASS",15,"YES","YES","NO","NO","FEMALE","BLACK",5.589041,"FEMALE","WHITE","BACHELORS",3,398,429,405,-1.187788,-1.156131,-.7563518,9,7,20,1
13498,244806,24480605,"REGULAR CLASS",,25,"YES","NO","NO","NO","MALE","BLACK",5.515069,"FEMALE","BLACK","BACHELORS",6,437,473,440,.0613622,-.2140177,.2068421,41,56,60,1
13499,208501,20850102,"REGULAR + AIDE CLASS","REGULAR + AIDE CLASS",22,"YES","YES","YES","YES","MALE","WHITE",5.668493,"FEMALE","WHITE","MASTERS",12,437,528,423,.0613622,.963624,-.2609949,81,56,42,0
13500,208503,20850303,"REGULAR + AIDE CLASS","REGULAR CLASS",23,"YES","YES","NO","NO","MALE","WHITE",5.663014,"FEMALE","WHITE","MASTERS",3,403,489,396,-1.027641,.128569,-1.00403,55,11,10,1
13501,208501,20850104,"SMALL CLASS","SMALL CLASS",15,"YES","YES","NO","NO","MALE","WHITE",5.657534,"FEMALE","WHITE","BACHELORS",5,453,576,444,.5738341,1.991384,.3169214,95,75,63,0
13502,244818,24481802,"SMALL CLASS",,16,"YES","NO","NO","NO","MALE","WHITE",5.512329,"FEMALE","BLACK","MASTERS",10,386,399,380,-1.572142,-1.798481,-1.444347,2,2,2,1
13503,208501,20850102,"REGULAR + AIDE CLASS",,22,"YES","NO","NO","NO","MALE","WHITE",5.643836,"FEMALE","WHITE","MASTERS",12,460,528,463,.7980406,.963624,.8397981,81,81,79,0
13504,244755,24475506,"REGULAR + AIDE CLASS","REGULAR CLASS",22,"YES","YES","NO","NO","MALE","BLACK",5.512329,"FEMALE","BLACK","BACHELORS",16,425,463,410,-.3229918,-.4281343,-.6187527,33,39,26,1
13505,208501,20850101,"REGULAR CLASS","REGULAR CLASS",22,"YES","YES","YES","YES","FEMALE","WHITE",5.638356,"FEMALE","WHITE","BACHELORS",13,458,547,453,.7339816,1.370446,.5645999,88,80,71,0
13506,208501,20850102,"REGULAR + AIDE CLASS","REGULAR + AIDE CLASS",22,"YES","YES","YES","YES","FEMALE","WHITE",5.635616,"FEMALE","WHITE","MASTERS",12,467,506,449,1.022247,.4925674,.4545206,68,86,67,0
13507,230612,23061203,"REGULAR CLASS","REGULAR + AIDE CLASS",23,"YES","YES","YES","YES","MALE","WHITE",5.635616,"FEMALE","WHITE","MASTERS",6,467,559,494,1.022247,1.627386,1.692913,91,86,94,0
13508,,,,,,"NO","NO","YES","NO","MALE","WHITE",5.632877,,,,,,,,,,,,,,
13509,244723,24472302,"SMALL CLASS","SMALL CLASS",17,"YES","YES","YES","YES","FEMALE","BLACK",5.512329,"FEMALE","BLACK","BACHELORS",2,434,520,431,-.0347263,.7923307,-.0408363,77,52,51,1
13510,208503,20850301,"REGULAR CLASS","REGULAR + AIDE CLASS",24,"YES","YES","YES","YES","FEMALE","WHITE",5.621918,"FEMALE","WHITE","MASTERS",8,407,384,401,-.8995227,-2.119656,-.8664311,1,14,15,0
13511,221571,22157101,"REGULAR CLASS","REGULAR CLASS",21,"YES","YES","YES","YES","FEMALE","WHITE",5.621918,"FEMALE","BLACK","BACHELORS",3,451,500,453,.5097751,.3640974,.5645999,64,73,71,0
13512,221571,22157104,"SMALL CLASS","SMALL CLASS",16,"YES","YES","YES","YES","FEMALE","WHITE",5.613698,"FEMALE","WHITE","BACHELORS",21,431,602,431,-.1308148,2.548087,-.0408363,97,48,51,1
13513,205492,20549201,"REGULAR + AIDE CLASS","REGULAR CLASS",23,"YES","YES","YES","YES","MALE","BLACK",5.249315,"FEMALE","WHITE","BACHELORS",0,433,478,427,-.0667558,-.1069593,-.1509156,46,49,46,1
13514,208503,20850301,"REGULAR CLASS","REGULAR CLASS",24,"YES","YES","YES","YES","MALE","WHITE",5.668493,"FEMALE","WHITE","MASTERS",8,397,500,410,-1.219818,.3640974,-.6187527,64,6,26,0
13515,208503,20850303,"REGULAR + AIDE CLASS","REGULAR CLASS",23,"YES","YES","NO","NO","FEMALE","WHITE",5.641096,"FEMALE","WHITE","MASTERS",3,422,484,414,-.4190803,.0215107,-.5086734,50,34,32,0
13516,208501,20850101,"REGULAR CLASS",,22,"YES","NO","NO","NO","FEMALE","WHITE",5.630137,"FEMALE","WHITE","BACHELORS",13,440,520,427,.1574507,.7923307,-.1509156,77,61,46,0
13517,161183,16118301,"REGULAR CLASS",,22,"YES","NO","NO","NO","FEMALE","WHITE",5.249315,"FEMALE","WHITE","MASTERS",12,430,478,414,-.1628443,-.1069593,-.5086734,46,46,32,0
13518,,,,,,"NO","NO","YES","YES","MALE","WHITE",5.619178,,,,,,,,,,,,,,
13519,208503,20850303,"REGULAR + AIDE CLASS",,23,"YES","NO","NO","NO","FEMALE","WHITE",5.605479,"FEMALE","WHITE","MASTERS",3,492,513,502,1.822984,.642449,1.913071,73,95,96,0
13520,,,,"REGULAR CLASS",,"NO","YES","YES","YES","MALE","BLACK",5.246575,,,,,,,,,,,,,,
13521,244806,24480601,"SMALL CLASS","SMALL CLASS",14,"YES","YES","YES","NO","MALE","BLACK",5.515069,"FEMALE","WHITE","BACHELORS",1,,,,,,,,,,1
13522,209510,20951005,"SMALL CLASS",,14,"YES","NO","NO","NO","FEMALE","WHITE",5.657534,"FEMALE","WHITE","BACHELORS",15,410,459,396,-.8034342,-.513781,-1.00403,29,18,10,1
13523,244831,24483102,"REGULAR CLASS",,22,"YES","NO","NO","NO","MALE","WHITE",5.583561,"FEMALE","BLACK","BACHELORS",18,425,478,410,-.3229918,-.1069593,-.6187527,46,39,26,1
13524,244727,24472703,"REGULAR + AIDE CLASS","REGULAR + AIDE CLASS",21,"YES","YES","YES","YES","MALE","BLACK",5.569863,"FEMALE","BLACK","BACHELORS",12,413,454,405,-.7073457,-.6208394,-.7563518,25,22,20,0
13525,244755,24475506,"REGULAR + AIDE CLASS",,22,"YES","NO","NO","NO","FEMALE","BLACK",5.567123,"FEMALE","BLACK","BACHELORS",16,424,444,414,-.3550213,-.834956,-.5086734,17,37,32,1
13526,212522,21252201,"REGULAR + AIDE CLASS","REGULAR + AIDE CLASS",21,"YES","YES","NO","NO","FEMALE","WHITE",5.616438,"FEMALE",,,,,454,,-.6208394,-.6208394,,25,,,0
13527,212522,21252204,"SMALL CLASS","SMALL CLASS",13,"YES","YES","YES","YES","MALE","BLACK",5.613698,"FEMALE","WHITE","MASTERS",17,448,444,486,.4136866,-.834956,1.472754,17,70,92,1
13528,244774,24477401,"REGULAR + AIDE CLASS","REGULAR + AIDE CLASS",22,"YES","YES","NO","NO","MALE","BLACK",5.517808,"FEMALE","WHITE","BACHELORS",0,405,434,405,-.9635817,-1.049073,-.7563518,12,12,20,1
13529,205489,20548902,"REGULAR CLASS",,23,"YES","NO","NO","NO","MALE","WHITE",5.586301,"FEMALE","WHITE","BACHELORS",14,514,506,541,2.527633,.4925674,2.986345,68,98,99,0
13530,193423,19342302,"SMALL CLASS","SMALL CLASS",16,"YES","YES","YES","YES","FEMALE","BLACK",5.665753,"FEMALE","WHITE","BACHELORS",12,580,536,593,4.64158,1.134917,4.417376,85,100,100,0
13531,244746,24474602,"REGULAR CLASS",,21,"YES","NO","NO","NO","FEMALE","BLACK",5.487671,"FEMALE","WHITE","BACHELORS",5,,,,,,,,,,1
13532,215533,21553302,"REGULAR CLASS",,24,"YES","NO","NO","NO","FEMALE","BLACK",5.610959,"FEMALE","WHITE","MASTERS",15,422,434,427,-.4190803,-1.049073,-.1509156,12,34,46,1
13533,193422,19342201,"REGULAR + AIDE CLASS","REGULAR CLASS",20,"YES","YES","YES","YES","MALE","WHITE",5.591781,"FEMALE","WHITE","BACHELORS",9,427,459,435,-.2589328,-.513781,.069243,29,41,55,0
13534,216536,21653604,"SMALL CLASS","SMALL CLASS",17,"YES","YES","YES","YES","MALE","WHITE",5.641096,"FEMALE","WHITE","BACHELORS",22,447,489,468,.3816572,.128569,.9773973,55,68,83,1
13535,205492,20549204,"SMALL CLASS","SMALL CLASS",17,"YES","YES","YES","NO","MALE","WHITE",5.227397,"FEMALE","WHITE","BACHELORS",3,425,489,410,-.3229918,.128569,-.6187527,55,39,26,0
13536,,,,"SMALL CLASS",,"NO","YES","YES","YES","MALE","BLACK",4.920548,,,,,,,,,,,,,,
13537,170295,17029501,"REGULAR CLASS","REGULAR + AIDE CLASS",22,"YES","YES","YES","YES","MALE","WHITE",5.665753,"FEMALE","WHITE","BACHELORS",19,580,528,593,4.64158,.963624,4.417376,81,100,100,0
13538,244745,24474503,"REGULAR CLASS",,23,"YES","NO","NO","NO","FEMALE","WHITE",5.482192,"FEMALE","BLACK","BACHELORS",1,407,489,374,-.8995227,.128569,-1.609466,55,14,1,1
13539,,,,,,"NO","NO","YES","NO","FEMALE","WHITE",5.663014,,,,,,,,,,,,,,
13540,244745,24474503,"REGULAR CLASS","REGULAR CLASS",23,"YES","YES","YES","NO","FEMALE","WHITE",5.610959,"FEMALE","BLACK","BACHELORS",1,450,513,444,.4777456,.642449,.3169214,73,72,63,0
13541,159171,15917101,"REGULAR + AIDE CLASS",,27,"YES","NO","NO","NO","MALE","WHITE",5.657534,"FEMALE","WHITE","BACHELORS",10,,,,,,,,,,1
13542,159171,15917101,"REGULAR + AIDE CLASS","REGULAR CLASS",27,"YES","YES","NO","NO","FEMALE","BLACK",5.657534,"FEMALE","WHITE","BACHELORS",10,437,484,444,.0613622,.0215107,.3169214,50,56,63,1
13543,,,,,,"NO","NO","YES","NO","FEMALE",,5.671233,,,,,,,,,,,,,,
13544,159171,15917101,"REGULAR + AIDE CLASS",,27,"YES","NO","NO","NO","MALE","WHITE",5.654795,"FEMALE","WHITE","BACHELORS",10,391,478,386,-1.411995,-.1069593,-1.279228,46,3,4,1
13545,244831,24483103,"REGULAR + AIDE CLASS","REGULAR + AIDE CLASS",27,"YES","YES","YES","NO","MALE","WHITE",5.539726,"FEMALE","WHITE","BACHELORS",2,,484,435,.0215107,.0215107,.069243,50,,55,0
13546,,,,,,"NO","NO","NO","YES","MALE","WHITE",5.649315,,,,,,,,,,,,,,
13547,,,,"SMALL CLASS",,"NO","YES","YES","YES","MALE","WHITE",5.649315,,,,,,,,,,,,,,
13548,212522,21252202,"REGULAR + AIDE CLASS","REGULAR CLASS",23,"YES","YES","NO","NO","MALE","WHITE",5.213699,"FEMALE","WHITE","BACHELORS",13,428,478,435,-.2269033,-.1069593,.069243,46,43,55,1
13549,205490,20549001,"SMALL CLASS",,15,"YES","NO","NO","NO","FEMALE","BLACK",5.210959,"FEMALE","WHITE","BACHELORS",3,436,489,435,.0293327,.128569,.069243,55,54,55,1
13550,159171,15917102,"SMALL CLASS","SMALL CLASS",16,"YES","YES","YES","YES","FEMALE","WHITE",4.80548,"FEMALE","WHITE","MASTERS",8,460,484,468,.7980406,.0215107,.9773973,50,81,83,1
13551,244697,24469703,"REGULAR + AIDE CLASS","REGULAR + AIDE CLASS",27,"YES","YES","YES","YES","FEMALE","BLACK",5.506849,"FEMALE","WHITE","MASTERS",5,425,459,414,-.3229918,-.513781,-.5086734,29,39,32,1
13552,244780,24478002,"REGULAR CLASS","REGULAR + AIDE CLASS",23,"YES","YES","NO","YES","MALE","BLACK",5.506849,"FEMALE","BLACK","BACHELORS",10,431,559,405,-.1308148,1.627386,-.7563518,91,48,20,1
13553,205490,20549001,"SMALL CLASS","SMALL CLASS",15,"YES","YES","YES","YES","MALE","BLACK",5.210959,"FEMALE","WHITE","BACHELORS",3,408,459,405,-.8674932,-.513781,-.7563518,29,16,20,1
13554,244728,24472802,"REGULAR + AIDE CLASS",,20,"YES","NO","NO","NO","FEMALE","BLACK",5.454794,"FEMALE","BLACK","BACHELORS",6,410,454,380,-.8034342,-.6208394,-1.444347,25,18,2,0
13555,,,,"REGULAR CLASS",,"NO","YES","NO","NO","FEMALE","BLACK",5.504109,,,,,,,,,,,,,,
13556,244780,24478002,"REGULAR CLASS",,23,"YES","NO","NO","NO","FEMALE","BLACK",5.50137,"FEMALE","BLACK","BACHELORS",10,384,484,391,-1.636201,.0215107,-1.141629,50,1,6,1
13557,244764,24476402,"SMALL CLASS",,13,"YES","NO","NO","NO","MALE","BLACK",5.50137,"FEMALE","BLACK","MASTERS",13,413,463,401,-.7073457,-.4281343,-.8664311,33,22,15,1
13558,170295,17029502,"REGULAR + AIDE CLASS",,22,"YES","NO","NO","NO","MALE","WHITE",5.630137,"FEMALE","WHITE","BACHELORS",14,,,,,,,,,,1
13559,161176,16117603,"REGULAR CLASS","REGULAR + AIDE CLASS",24,"YES","YES","YES","YES","FEMALE","WHITE",5.20548,"FEMALE","WHITE","BACHELORS",6,427,513,418,-.2589328,.642449,-.3985941,73,41,37,0
13560,159171,15917104,"SMALL CLASS","SMALL CLASS",17,"YES","YES","YES","YES","MALE","WHITE",4.791781,"FEMALE","WHITE","BACHELORS",6,453,602,480,.5738341,2.548087,1.307635,97,75,89,0
13561,180344,18034402,"REGULAR + AIDE CLASS","REGULAR + AIDE CLASS",24,"YES","YES","NO","NO","FEMALE","WHITE",5.624658,"FEMALE","WHITE","BACHELORS",0,495,484,569,1.919073,.0215107,3.7569,50,96,99,0
13562,159171,15917103,"REGULAR CLASS",,24,"YES","NO","NO","NO","MALE","WHITE",5.624658,"FEMALE","WHITE","BACHELORS",10,478,547,494,1.374572,1.370446,1.692913,88,92,94,1
13563,244755,24475507,"SMALL CLASS",,15,"YES","NO","NO","NO","FEMALE","BLACK",5.49863,"FEMALE","BLACK","BACHELORS",3,538,626,502,3.296341,3.061967,1.913071,99,99,96,1
13564,180344,18034404,"SMALL CLASS","SMALL CLASS",16,"YES","YES","NO","NO","FEMALE","WHITE",5.624658,"FEMALE","WHITE","MASTERS",13,472,602,458,1.182395,2.548087,.702199,97,89,75,0
13565,,,,"REGULAR CLASS",,"NO","YES","NO","NO","FEMALE","BLACK",5.471233,,,,,,,,,,,,,,
13566,173312,17331201,"SMALL CLASS",,14,"YES","NO","NO","NO","MALE","WHITE",5.621918,"FEMALE","WHITE","BACHELORS",11,492,528,468,1.822984,.963624,.9773973,81,95,83,1
13567,170295,17029502,"REGULAR + AIDE CLASS","REGULAR + AIDE CLASS",22,"YES","YES","YES","YES","MALE","WHITE",4.813699,"FEMALE","WHITE","BACHELORS",14,428,506,414,-.2269033,.4925674,-.5086734,68,43,32,0
13568,170295,17029501,"REGULAR CLASS","REGULAR + AIDE CLASS",22,"YES","YES","YES","YES","FEMALE","WHITE",5.619178,"FEMALE","WHITE","BACHELORS",19,,,,,,,,,,0
13569,180344,18034402,"REGULAR + AIDE CLASS","REGULAR CLASS",24,"YES","YES","NO","NO","MALE","WHITE",5.616438,"FEMALE","WHITE","BACHELORS",0,434,463,431,-.0347263,-.4281343,-.0408363,33,52,51,0
13570,159171,15917101,"REGULAR + AIDE CLASS","REGULAR CLASS",27,"YES","YES","YES","YES","FEMALE","WHITE",5.613698,"FEMALE","WHITE","BACHELORS",10,474,463,444,1.246454,-.4281343,.3169214,33,90,63,0
13571,244774,24477405,"REGULAR CLASS","SMALL CLASS",26,"YES","YES","YES","YES","MALE","BLACK",5.495891,"FEMALE","BLACK","BACHELORS",6,424,478,444,-.3550213,-.1069593,.3169214,46,37,63,1
13572,215533,21553302,"REGULAR CLASS","REGULAR + AIDE CLASS",24,"YES","YES","YES","YES","MALE","WHITE",5.610959,"FEMALE","WHITE","MASTERS",15,427,500,427,-.2589328,.3640974,-.1509156,64,41,46,0
13573,244746,24474603,"SMALL CLASS","SMALL CLASS",16,"YES","YES","YES","YES","MALE","BLACK",5.495891,"FEMALE","WHITE","BACHELORS",5,480,506,480,1.43863,.4925674,1.307635,68,93,89,1
13574,215533,21553302,"REGULAR CLASS","REGULAR + AIDE CLASS",24,"YES","YES","YES","YES","MALE","BLACK",5.608219,"FEMALE","WHITE","MASTERS",15,414,484,414,-.6753162,.0215107,-.5086734,50,24,32,1
13575,230612,23061203,"REGULAR CLASS","REGULAR CLASS",23,"YES","YES","YES","YES","MALE","WHITE",5.608219,"FEMALE","WHITE","MASTERS",6,448,513,444,.4136866,.642449,.3169214,73,70,63,0
13576,,,,"REGULAR CLASS",,"NO","YES","YES","YES","MALE","BLACK",5.493151,,,,,,,,,,,,,,
13577,159171,15917104,"SMALL CLASS","SMALL CLASS",17,"YES","YES","YES","YES","MALE","WHITE",5.6,"FEMALE","WHITE","BACHELORS",6,448,559,444,.4136866,1.627386,.3169214,91,70,63,0
13578,215533,21553303,"SMALL CLASS","SMALL CLASS",14,"YES","YES","YES","YES","MALE","WHITE",5.6,"FEMALE","WHITE","MASTERS +",6,455,494,468,.6378931,.2356273,.9773973,60,77,83,0
13579,169280,16928003,"REGULAR + AIDE CLASS","REGULAR CLASS",22,"YES","YES","NO","NO","MALE","WHITE",5.594521,"FEMALE","WHITE","BACHELORS",7,455,494,453,.6378931,.2356273,.5645999,60,77,71,0
13580,168214,16821401,"SMALL CLASS",,14,"YES","NO","NO","NO","FEMALE","WHITE",5.243835,"FEMALE","WHITE","BACHELORS",6,442,489,444,.2215097,.128569,.3169214,55,63,63,0
13581,244806,24480603,"REGULAR CLASS","SMALL CLASS",26,"YES","YES","YES","YES","MALE","BLACK",5.482192,"FEMALE","BLACK","BACHELORS",0,470,513,494,1.118336,.642449,1.692913,73,88,94,0
